,Product Name,Product Description,Review Text,Rating
0,iPhone 15,The Apple iPhone 15 redefines smartphone innovation with its cutting-edge features and design.,"The iPhone 15 is a masterpiece! The sleek design, powerful performance, and advanced features make it the best smartphone on the market. Highly recommend!","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 3, ""overall quality"": 5}"
1,MacBook Pro 2023,"Experience the ultimate in computing power with the MacBook Pro 2023, featuring blazing-fast performance and stunning Retina display.","The MacBook Pro 2023 is a game-changer! The performance is lightning-fast, the Retina display is breathtaking, and the build quality is top-notch. Absolutely love it!","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 4, ""overall quality"": 5}"
2,Kindle Paperwhite,"Enjoy reading your favorite books anytime, anywhere with the Kindle Paperwhite e-reader.","The Kindle Paperwhite is a must-have for book lovers! The adjustable lighting, crisp display, and long battery life make it perfect for hours of reading. Highly recommend!","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 2, ""overall quality"": 5}"
3,Canon EOS R5,Capture life's moments in stunning detail with the Canon EOS R5 mirrorless camera.,"The Canon EOS R5 is a game-changer! The image quality is phenomenal, and the autofocus system is lightning-fast. Plus, the build quality is top-notch. Highly recommend!","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 4, ""overall quality"": 5}"
4,Nike Air Zoom Pegasus 38,Experience unparalleled comfort and performance with the Nike Air Zoom Pegasus 38 running shoes.,"The Nike Air Zoom Pegasus 38 is a game-changer! The responsive cushioning and breathable upper provide a comfortable and supportive ride, whether you're running on the road or hitting the gym. Highly recommend!","{""durability"": 5, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 2, ""overall quality"": 5}"
5,Levi's 501 Original Fit Jeans,Stay stylish and comfortable with the Levi's 501 Original Fit Jeans.,"The Levi's 501 Original Fit Jeans are a wardrobe essential! The classic fit and timeless design make them perfect for any occasion. Plus, they're so comfortable to wear all day long. Absolutely love them!","{""durability"": 5, ""ease of use"": 3, ""pleasant look"": 5, ""packaging"": 5, ""overall quality"": 5}"
6,IKEA MALM Dresser,Add style and functionality to your bedroom with the IKEA MALM Dresser.,"The IKEA MALM Dresser is a game-changer! The spacious drawers and sleek design make it perfect for storing clothes and accessories. Plus, it's easy to assemble and looks great in any room. Highly recommend!","{""durability"": 5, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 3, ""overall quality"": 5}"
7,The Lord of the Rings: The Fellowship of the Ring,Embark on an epic adventure with The Lord of the Rings: The Fellowship of the Ring.,"The Lord of the Rings: The Fellowship of the Ring is a masterpiece! The captivating story, breathtaking visuals, and unforgettable characters make it a timeless classic. Highly recommend!","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 4, ""overall quality"": 5}"
8,Harry Potter and the Sorcerer's Stone,Step into the magical world of Hogwarts with Harry Potter and the Sorcerer's Stone.,"Harry Potter and the Sorcerer's Stone is a magical journey! The captivating story, enchanting characters, and immersive world-building make it a must-read for all ages. Highly recommend!","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 2, ""overall quality"": 5}"
9,Game of Thrones: A Song of Ice and Fire,Experience the epic fantasy world of Westeros with Game of Thrones: A Song of Ice and Fire.,"Game of Thrones: A Song of Ice and Fire is a masterpiece! The intricate plot, complex characters, and immersive world-building make it a must-read for fantasy fans. Highly recommend!","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 5, ""overall quality"": 5}"
10,Samsung Galaxy Tab S8,Experience the ultimate in tablet technology with the Samsung Galaxy Tab S8.,"The Samsung Galaxy Tab S8 is a game-changer! The stunning display, powerful performance, and sleek design make it perfect for work and play. Highly recommend!","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 3, ""overall quality"": 5}"
11,Amazon Echo Show 15,Transform your home with the Amazon Echo Show 15 smart display.,"The Amazon Echo Show 15 is incredible! The large display, immersive sound, and built-in Alexa features make it perfect for staying connected and entertained. Highly recommend!","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 2, ""overall quality"": 5}"
12,Adidas Ultraboost 22,Experience unmatched comfort and performance with the Adidas Ultraboost 22 running shoes.,"The Adidas Ultraboost 22 is a game-changer! The responsive cushioning and lightweight design provide a smooth and supportive ride, whether you're running errands or hitting the gym. Highly recommend!","{""durability"": 5, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 5, ""overall quality"": 5}"
13,Nikon D850 DSLR Camera,Capture stunning images with the Nikon D850 DSLR camera.,The Nikon D850 is a professional-grade camera with exceptional image quality and performance. Highly recommend!,"{""durability"": 5, ""ease of use"": 4, ""packaging"": 5, ""pleasant look"": 5, ""overall quality"": 5}"
14,Maybelline New York Fit Me Matte + Poreless Foundation,Achieve a flawless complexion with Maybelline New York Fit Me Matte + Poreless Foundation.,"The Maybelline Fit Me Foundation provides excellent coverage and controls shine. However, the shade range is limited, and it tends to oxidize throughout the day.{""durability"": 3, ""ease of use"": 4, ""packaging"": 4, ""pleasant look"": 3, ""overall quality"": 3}","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 3, ""overall quality"": 5}"
15,IKEA Ektorp Sofa,Relax in style with the IKEA Ektorp Sofa.,"The IKEA Ektorp Sofa is comfortable and affordable, perfect for lounging with family and friends. However, the assembly process can be time-consuming, and the cushions tend to lose their shape over time.{""durability"": 3, ""ease of use"": 2, ""packaging"": 3, ""pleasant look"": 4, ""overall quality"": 3}","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 2, ""overall quality"": 5}"
16,The Great Gatsby by F. Scott Fitzgerald,Dive into the roaring twenties with The Great Gatsby by F. Scott Fitzgerald.,"The Great Gatsby is a classic novel that captures the essence of the Jazz Age. Highly recommend for fans of literary fiction!{""durability"": 5, ""ease of use"": 5, ""packaging"": 1, ""pleasant look"": 5, ""overall quality"": 5}","{""durability"": 5, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 5, ""overall quality"": 5}"
17,Revlon One-Step Hair Dryer and Volumizer,Achieve salon-worthy blowouts at home with the Revlon One-Step Hair Dryer and Volumizer.,"The Revlon One-Step is a game-changer for styling hair quickly and effortlessly. However, it can be heavy to hold for extended periods, and the bristles may break over time.{""durability"": 3, ""ease of use"": 4, ""packaging"": 4, ""pleasant look"": 4, ""overall quality"": 4}","{""durability"": 5, ""ease of use"": 4, ""packaging"": 5, ""pleasant look"": 5, ""overall quality"": 5}"
18,Zinus Memory Foam 12 Inch Green Tea Mattress,Experience superior comfort and support with the Zinus Memory Foam Green Tea Mattress.,"The Zinus Green Tea Mattress provides excellent pressure relief and sleeps cool throughout the night. However, it emits a strong odor upon unboxing, and the edges may sag over time.","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 3, ""overall quality"": 5}"
19,Fenty Beauty Gloss Bomb Universal Lip Luminizer,Get luscious lips with Fenty Beauty Gloss Bomb Universal Lip Luminizer.,"The Fenty Beauty Gloss Bomb adds the perfect touch of shine and hydration to any look. However, the applicator can be messy, and the formula tends to be sticky.","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 2, ""overall quality"": 5}"
20,ASOS Design Slim Tailored Suit Jacket,Look sharp and sophisticated in the ASOS Design Slim Tailored Suit Jacket.,"The ASOS suit jacket offers a modern fit and stylish design, perfect for formal occasions. However, the fabric wrinkles easily, and the buttons may come loose with frequent wear.","{""durability"": 5, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 5, ""overall quality"": 5}"
21,Breville Smart Oven Air Fryer,Cook delicious meals with the Breville Smart Oven Air Fryer.,"The Breville Smart Oven combines air frying, baking, and roasting functions for versatile cooking options. However, the exterior gets hot during use, and the presets may not always cook food evenly.","{""durability"": 5, ""ease of use"": 4, ""packaging"": 5, ""pleasant look"": 5, ""overall quality"": 5}"
22,Olay Regenerist Micro-Sculpting Cream,Achieve youthful-looking skin with Olay Regenerist Micro-Sculpting Cream.,"The Olay Regenerist Cream hydrates and firms the skin for a more radiant complexion. However, it may cause breakouts for those with sensitive skin, and the fragrance is overpowering.","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 3, ""overall quality"": 5}"
23,Nike Men's Revolution 5 Running Shoes,Experience comfort and performance with Nike Men's Revolution 5 Running Shoes.,"The Nike Revolution 5 offers excellent cushioning and support for long runs. However, the sizing runs small, and the durability of the upper mesh is questionable.","{""durability"": 5, ""ease of use"": 5, ""pleasant look"": 5, ""packaging"": 2, ""overall quality"": 5}"
